ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
1325,HO,10,11,FL,0,4,A,40689,40692,40483,NA,1976,1,3,0.2,NA,40361,3,1,40362,B,Other,8,PUBLIC,1,9,12,1558,N,0,0,East Coast,NEW,5,6,1976,1,40435,40435,254,254,High,High,High->High,May,High,High,High->High,H,0,0.003209243,0.833333333,1,L,0
1326,HD,8,8,TX,0,3,A,40689,40692,40466,NA,1427,13,6,0.65,NA,40413,10,4,40407,C,Dallas,10,PUBLIC,1,6,8,594,G,0.1,0,East Coast,NEW,20,24,1427,2,40416,40430,273,259,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.033670034,0.833333333,4,M-L,0
1327,HN,8,8,FL,0,4,A,40689,40692,40483,NA,1579,11,11,0.611,NA,40443,12,3,40416,C,Other,10,PUBLIC,0,K,8,1203,N,0.222,0,East Coast,EXISTING,18,21,1579,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1,0.014962594,0.857142857,3,L,0
1328,HVP,8,8,TN,0,5,B,40689,40693,40473,NA,438,37,14,0.673,40232,40414,19,4,40232,B,Other,2,PUBLIC,1,6,8,863,I,0.255,0,East Coast,NEW,55,59,438,2,40253,40437,436,252,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.06373117,0.93220339,4,L,1
1329,HVP,8,8,TN,0,5,B,40689,40693,40445,NA,439,62,8,0.738,NA,40413,8,6,40410,C,Other,10,PUBLIC,1,5,8,790,C,0.179,0,East Coast,NEW,84,90,439,1,40428,40428,261,261,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,1,0.106329114,0.933333333,6,M-L,1
1330,HD,8,8,OH,0,5,B,40689,40693,40483,FR,694,57,7,0.588,NA,40462,9,7,40438,B,Other,10,PUBLIC,1,6,8,942,L,0.268,0,East Coast,EXISTING,97,104,694,1,40675,40675,14,14,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.102972399,0.932692308,7,L,1
1331,HVP,8,8,OH,0,3,B,40689,40693,40483,NA,419,43,8,0.512,NA,40444,12,9,40444,B,Other,10,PUBLIC,1,6,8,330,L,0.095,0,East Coast,NEW,84,93,419,1,40457,40457,232,232,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.254545455,0.903225806,9,S,1
1332,HD,8,8,CA,0,5,A,40689,40694,40483,NA,2093,31,3,0.775,40220,40417,4,6,40211,A,Northern California,5,PUBLIC,1,6,8,1149,Q,0.475,0,East Coast,EXISTING,40,46,2093,2,40283,40435,406,254,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.034812881,0.869565217,6,L,1
1333,HD,8,8,CA,0,5,A,40689,40694,40451,NA,2087,7,2,0.583,NA,40417,2,1,40374,A,Northern California,5,PUBLIC,1,6,8,1072,Q,0.167,1,East Coast,EXISTING,12,13,2087,1,40436,40436,253,253,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.01119403,0.923076923,1,L,1
1334,HD,7,8,MI,0,5,B,40689,40694,40497,NA,825,35,2,0.467,NA,40449,8,10,40445,B,Other,5,PUBLIC,1,7,8,642,L,0.227,0,East Coast,EXISTING,75,85,825,1,40465,40465,224,224,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.11682243,0.882352941,10,M-L,1
1335,HC,8,8,HI,0,8,A,40689,40697,40483,CP,3628,13,2,0.591,40235,40414,5,3,40236,E,Other,5,PUBLIC,1,6,8,280,O,0.091,0,East Coast,EXISTING,22,25,3628,1,40429,40429,260,260,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.078571429,0.88,3,S,0
1336,HIS,NA,NA,IL,0,1,B,40690,40690,40578,CP,100,0,0,0,NA,40478,0,4,40478,C,Other,1,PUBLIC,1,4,8,372,E,0,0,IL History,NEW,43,47,100,1,40486,40486,204,204,Undefined,Undefined,Undefined->Undefined,May,Elementary,Middle,Elementary->Middle,H,0,0.115591398,0.914893617,4,S-M,1
1337,HD,8,8,TX,0,4,A,40690,40693,40452,NA,1495,9,3,0.6,40211,40421,6,1,40212,C,Houston,10,PUBLIC,1,6,8,1168,F,0.267,0,East Coast,EXISTING,15,16,1495,2,40234,40428,456,262,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.012842466,0.9375,1,L,0
1338,HD,8,8,OH,0,4,B,40690,40693,40480,NA,772,48,6,0.696,40204,40422,7,6,40204,A,Other,5,PUBLIC,1,6,8,550,N,0.261,0,East Coast,EXISTING,69,75,772,1,40442,40442,248,248,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.125454545,0.92,6,S-M,1
1339,HD,8,8,NE,0,4,A,40690,40693,40473,NA,1617,17,2,0.5,40256,40407,3,2,40256,C,Other,10,PUBLIC,1,6,8,547,E,0.412,0,East Coast,EXISTING,34,36,1617,2,40442,40491,248,199,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.062157221,0.944444444,2,S-M,1
1340,HD,8,9,FL,0,4,A,40690,40693,40466,NA,1440,8,1,0.571,40213,40407,2,1,40212,B,Other,4,PUBLIC,1,K,5,650,O,0.214,0,East Coast,EXISTING,14,15,1440,2,40407,40422,283,268,Middle,High,Middle->High,May,K,Elementary,K->Elementary,H,0,0.021538462,0.933333333,1,M-L,1
1341,HD,8,8,NY,0,4,B,40690,40693,40459,NA,867,13,0,0.684,NA,40402,0,2,40402,,Other,2,Catholic,0,PK,8,271,O,0.158,0,East Coast,NEW,19,21,867,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,1,0.070110701,0.904761905,2,S,1
1342,HD,10,11,LA,0,4,A,40690,40693,40494,FR,1499,4,1,1,NA,40437,2,1,40436,B,Other,8,PUBLIC,0,9,12,750,G,0.25,0,East Coast,NEW,4,5,1499,0,NA,NA,NA,NA,High,High,High->High,May,High,High,High->High,H,0,0.005333333,0.8,1,M-L,0
1343,HD,8,8,RI,0,5,B,40690,40694,40497,NA,769,22,2,0.667,40231,40420,5,7,40227,C,Other,10,PUBLIC,1,7,8,487,J,0.152,0,East Coast,EXISTING,33,40,769,1,40472,40472,218,218,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.067761807,0.825,7,S-M,1
1344,HD,7,8,NE,0,5,A,40690,40694,40466,NA,1632,4,1,0.364,40248,40424,1,1,40247,,Other,5,Catholic,0,K,8,515,M,0.091,0,East Coast,EXISTING,11,12,1632,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,0,0.021359223,0.916666667,1,S-M,1
1345,HD,7,9,IL,0,5,B,40690,40694,40501,NA,699,12,0,0.375,40284,40420,2,2,40282,C,Other,10,PUBLIC,1,7,12,220,F,0.219,0,East Coast,NEW,32,34,699,1,40451,40451,239,239,Middle,High,Middle->High,May,Middle,High,Middle->High,H,0,0.145454545,0.941176471,2,S,0
1346,HS,4,5,CA,0,2,A,40691,40692,40515,NA,637,9,1,0.5,NA,40423,1,1,40422,,Southern California,NA,CHD,1,,NA,,,0.278,0,CA History,NEW,18,19,637,1,40443,40443,248,248,Elementary,Elementary,Elementary->Elementary,May,Undefined,Undefined,Undefined->Undefined,H,0,NA,0.947368421,1,,0
1347,HD,NA,NA,IL,0,3,A,40691,40693,40479,NA,1098,33,9,0.611,40239,40423,7,4,40239,A,Other,5,PUBLIC,1,6,8,522,Q,0.259,0,East Coast,EXISTING,54,58,1098,1,40471,40471,220,220,Undefined,Undefined,Undefined->Undefined,May,Middle,Middle,Middle->Middle,H,0,0.103448276,0.931034483,4,S-M,1
1348,HD,NA,NA,MI,0,3,A,40691,40693,40466,NA,1149,1,0,0.333,40319,40443,0,1,40319,A,Other,5,PUBLIC,1,7,8,385,P,0.333,0,East Coast,EXISTING,3,4,1149,2,40332,40435,359,256,Undefined,Undefined,Undefined->Undefined,May,Middle,Middle,Middle->Middle,H,0,0.007792208,0.75,1,S-M,1
1349,HD,8,8,OH,0,3,A,40691,40693,40473,NA,1333,4,1,0.8,40291,40410,2,1,40290,A,Other,5,PUBLIC,1,7,8,879,P,0.2,0,East Coast,EXISTING,5,6,1333,2,40437,40457,254,234,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.005688282,0.833333333,1,L,1
1350,HD,8,8,KS,0,3,A,40691,40693,40466,FR,1433,9,4,0.281,40220,40416,5,3,40220,B,Other,10,PUBLIC,1,5,6,372,I,0.281,0,East Coast,EXISTING,32,35,1433,2,40315,40429,376,262,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,1,0.086021505,0.914285714,3,S-M,1
1351,HD,8,8,NE,1,3,A,40691,40693,40466,NA,1244,11,0,0.688,40206,40415,0,1,40204,B,Other,10,PUBLIC,1,6,8,301,H,0.25,0,East Coast,EXISTING,16,17,1244,2,40309,40437,382,254,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.053156146,0.941176471,1,S,1
1352,HD,7,8,IN,0,3,A,40691,40693,40476,NA,1286,4,1,0.667,40318,40318,1,1,40318,B,Other,10,PUBLIC,0,6,8,400,E,0.333,0,East Coast,NEW,6,7,1286,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.015,0.857142857,1,S-M,0
1353,HD,8,8,IL,0,3,A,40691,40693,40473,NA,999,17,3,0.586,NA,40417,4,3,40340,B,Other,10,PUBLIC,1,7,8,416,I,0.138,0,East Coast,EXISTING,29,32,999,1,40448,40448,243,243,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.069711538,0.90625,3,S-M,1
1354,HN,8,12,OK,0,3,A,40691,40693,40452,FR,1924,3,3,0.333,40233,40402,3,3,40233,D,Other,9,PUBLIC,1,PK,8,269,C,0,0,East Coast,EXISTING,9,12,1924,2,40297,40416,394,275,Middle,High,Middle->High,May,PK,Middle,PK->Middle,H,0,0.033457249,0.75,3,S,0
1355,HD,8,8,IN,0,3,A,40691,40693,40501,NA,1229,7,0,0.875,40275,40410,0,1,40275,B,Other,10,PUBLIC,1,6,8,450,E,0.125,0,East Coast,EXISTING,8,9,1229,1,40491,40491,200,200,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.017777778,0.888888889,1,S-M,0
1356,HD,NA,NA,IL,0,3,A,40691,40693,40480,NA,949,18,2,0.643,40296,40296,4,2,40296,A,Other,10,PUBLIC,1,6,8,350,O,0.286,0,East Coast,NEW,28,30,949,2,40310,40435,381,256,Undefined,Undefined,Undefined->Undefined,May,Middle,Middle,Middle->Middle,H,0,0.08,0.933333333,2,S-M,1
1357,HD,8,8,LA,0,3,A,40691,40693,40527,NA,1286,4,1,0.667,40231,40417,3,1,40227,C,Other,1,PUBLIC,1,6,8,553,B,0,0,East Coast,EXISTING,6,7,1286,1,40456,40456,235,235,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.01084991,0.857142857,1,S-M,1
1358,HD,8,8,MA,0,3,A,40691,40693,40497,FR,917,45,3,0.662,NA,40443,2,5,40409,A,Other,5,PUBLIC,0,6,8,1000,Q,0.25,0,East Coast,EXISTING,68,73,917,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.068,0.931506849,5,L,1
1359,HD,7,8,MS,0,3,A,40691,40693,40487,NA,1289,13,1,0.684,NA,40415,7,2,40414,C,Other,10,PUBLIC,1,6,8,1000,B,0.368,0,East Coast,EXISTING,19,21,1289,1,40430,40430,261,261,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.019,0.904761905,2,L,1
1360,HD,6,8,OK,0,4,A,40691,40694,40490,NA,1617,12,1,0.632,40263,40414,4,2,40261,B,Other,5,PUBLIC,1,7,8,170,G,0.526,0,East Coast,NEW,19,21,1617,2,40280,40443,411,248,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.111764706,0.904761905,2,S,0
1361,HD,6,8,MO,0,4,A,40691,40694,40466,NA,1559,32,2,0.727,40259,40409,8,5,40256,C,Other,10,PUBLIC,1,7,8,146,E,0.364,0,East Coast,NEW,44,49,1559,1,40437,40437,254,254,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.301369863,0.897959184,5,S,1
1362,HN,10,12,ID,0,4,A,40691,40694,40558,NA,2499,7,1,0.778,NA,40403,3,1,40402,B,Other,8,PUBLIC,1,9,12,977,J,0.111,0,East Coast,NEW,9,10,2499,1,40478,40478,213,213,High,High,High->High,May,High,High,High->High,H,0,0.009211873,0.9,1,L,0
1363,HD,6,8,TX,0,4,A,40691,40694,40613,NA,1768,7,0,1,NA,40599,0,1,40599,,Houston,1,Catholic,0,PK,8,131,G,0,0,East Coast,NEW,7,8,1768,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,0,0.053435115,0.875,1,S,0
1364,HD,8,9,MO,0,5,A,40691,40695,40483,NA,1701,4,5,0.444,40226,40424,7,1,40226,B,Other,10,PUBLIC,1,7,8,756,K,0.444,0,East Coast,NEW,9,10,1701,2,40253,40451,438,240,Middle,High,Middle->High,May,Middle,Middle,Middle->Middle,H,0,0.011904762,0.9,1,M-L,0
1365,HD,7,8,NE,0,5,A,40691,40695,40466,NA,1548,59,8,0.738,40224,40413,7,8,40222,B,Other,10,PUBLIC,1,7,8,971,L,0.275,0,East Coast,EXISTING,80,88,1548,1,40416,40416,275,275,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.082389289,0.909090909,8,L,1
1366,HD,6,8,AZ,0,5,A,40691,40695,40473,NA,1959,26,14,0.765,NA,40421,13,3,40418,B,Other,10,PUBLIC,1,7,8,609,I,0.206,0,East Coast,NEW,34,37,1959,1,40443,40443,248,248,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.055829228,0.918918919,3,M-L,1
1367,HN,12,12,NM,0,5,A,40691,40695,40613,SA,2550,0,0,0,NA,40595,0,1,40596,C,Other,8,PUBLIC,1,9,12,320,F,0,0,East Coast,NEW,10,11,2550,1,40609,40609,82,82,High,High,High->High,May,High,High,High->High,H,1,0.03125,0.909090909,1,S,0
1368,HC,8,8,CO,0,6,A,40691,40696,40482,NA,1898,28,13,0.683,40249,40406,13,7,40236,A,Other,9,PUBLIC,1,7,8,1000,Q,0.415,0,East Coast,EXISTING,41,48,1898,2,40302,40421,389,270,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.041,0.854166667,7,L,1
1369,HC,7,8,AZ,0,5,A,40691,40696,40497,NA,1799,17,12,0.81,NA,40448,15,4,40449,C,Other,5,PUBLIC,1,K,8,1011,P,0.476,0,East Coast,NEW,21,25,1799,1,40470,40470,221,221,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,0,0.020771513,0.84,4,L,0
1370,HD,8,8,CA,0,7,A,40691,40697,40451,NA,2225,51,2,0.654,40220,40340,1,6,40219,,Southern California,5,Catholic,1,K,8,660,O,0.205,0,East Coast,EXISTING,78,84,2225,2,40346,40423,345,268,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1,0.118181818,0.928571429,6,M-L,1
1371,HD,8,8,TX,0,4,A,40692,40695,40460,NA,1664,20,3,0.909,40267,40414,3,3,40266,B,Dallas,10,PUBLIC,1,5,8,363,L,0.409,0,East Coast,EXISTING,22,25,1664,1,40442,40442,250,250,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,1,0.060606061,0.88,3,S-M,1
1372,HD,7,8,TX,1,4,A,40692,40695,40483,NA,1618,14,3,0.667,40283,40448,4,3,40282,B,Houston,10,PUBLIC,1,6,8,921,L,0.333,0,East Coast,NEW,21,24,1618,2,40316,40479,376,213,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.022801303,0.875,3,L,0
1373,HD,8,8,MO,0,4,A,40692,40695,40444,NA,1440,18,2,0.857,40303,40303,7,3,40303,C,Other,10,PUBLIC,1,8,8,320,G,0.143,0,East Coast,NEW,21,24,1440,1,40430,40430,262,262,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.065625,0.875,3,S,1
1374,HD,7,8,TX,1,4,A,40692,40695,40482,NA,1561,19,1,0.864,40263,40263,8,3,40261,C,Dallas,10,PUBLIC,1,7,8,850,I,0.227,0,East Coast,NEW,22,25,1561,2,40325,40435,367,257,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.025882353,0.88,3,L,1
1375,HD,8,8,OK,0,4,A,40692,40695,40476,NA,1634,8,1,0.667,NA,40423,2,1,40423,C,Other,10,PUBLIC,1,6,8,365,E,0.167,0,East Coast,EXISTING,12,13,1634,1,40434,40434,258,258,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.032876712,0.923076923,1,S-M,0
1376,HD,8,8,TN,0,5,B,40692,40696,40470,NA,853,28,4,0.56,40309,40422,6,3,40261,B,Other,10,PUBLIC,1,6,8,775,I,0.14,0,East Coast,EXISTING,50,53,853,1,40435,40435,257,257,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.064516129,0.943396226,3,M-L,1
1377,HD,8,9,IN,1,5,B,40692,40696,40455,CP,889,24,9,0.727,40247,40395,9,3,40239,B,Other,5,PUBLIC,1,K,12,500,Z,0.152,0,East Coast,EXISTING,33,36,889,1,40414,40414,278,278,Middle,High,Middle->High,May,K,High,K->High,H,0,0.066,0.916666667,3,S-M,0
1378,HD,7,8,OK,0,5,A,40692,40696,40451,NA,1899,4,1,0.667,40266,40266,3,1,40264,B,Other,8,PUBLIC,0,9,12,175,F,0.333,0,East Coast,NEW,6,7,1899,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,High,High,High->High,H,0,0.034285714,0.857142857,1,S,0
1379,HC,8,9,TX,0,5,A,40692,40696,40473,NA,1983,11,0,0.55,40221,40430,0,2,40220,B,Houston,10,PUBLIC,1,6,8,206,J,0.15,0,East Coast,EXISTING,20,22,1983,2,40282,40443,410,249,Middle,High,Middle->High,May,Middle,Middle,Middle->Middle,H,0,0.097087379,0.909090909,2,S,0
1380,HD,6,7,CA,0,5,A,40692,40696,40497,NA,1999,8,3,0.667,NA,40344,5,1,40345,,Southern California,5,Catholic,1,K,8,265,F,0.333,0,East Coast,NEW,12,13,1999,2,40345,40465,347,227,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,0,0.045283019,0.923076923,1,S,0
1381,HD,8,8,LA,0,5,A,40692,40696,40466,FR,1769,27,4,0.844,40284,40400,4,3,40283,,Other,5,CHD,1,7,12,,J,0.188,0,East Coast,EXISTING,32,35,1769,1,40442,40442,250,250,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1,NA,0.914285714,3,,0
1382,HD,8,8,CO,0,5,A,40692,40696,40452,CP,1589,41,3,0.391,NA,40415,5,9,40267,B,Other,10,PUBLIC,0,6,8,625,O,0.248,0,East Coast,EXISTING,105,114,1589,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.168,0.921052632,9,M-L,1
1383,HD,6,8,NE,1,5,A,40692,40696,40134,FR,1558,6,1,0.194,40092,40092,1,2,40088,B,Other,1,PUBLIC,1,K,12,215,H,0.226,0,East Coast,EXISTING,31,33,1558,1,40415,40415,277,277,Middle,Middle,Middle->Middle,May,K,High,K->High,H,0,0.144186047,0.939393939,2,S,0
1384,HD,8,8,CA,0,5,A,40692,40696,40501,NA,1999,14,0,0.636,NA,40428,1,2,40425,,Southern California,10,Private non-Christian,1,PK,8,163,Q,0.227,0,East Coast,NEW,22,24,1999,1,40457,40457,235,235,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,1,0.134969325,0.916666667,2,S,1
1385,HC,7,8,CO,0,6,A,40692,40697,40452,NA,2509,32,2,0.744,40212,40399,4,6,40204,A,Other,5,PUBLIC,1,6,8,710,Q,0.163,0,East Coast,EXISTING,43,49,2509,1,40429,40429,263,263,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.06056338,0.87755102,6,M-L,1
1386,HD,7,8,CA,1,5,A,40692,40697,40466,FR,2426,19,0,0.826,40211,40407,0,2,40207,B,Northern California,5,PUBLIC,1,6,8,315,M,0.13,0,East Coast,EXISTING,23,25,2426,1,40420,40420,272,272,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0,0.073015873,0.92,2,S,0
1387,HC,9,12,CA,0,5,A,40692,40697,40550,NA,1849,16,7,0.5,NA,40409,14,5,40408,C,Southern California,5,PUBLIC,1,6,8,330,A,0.031,0,East Coast,NEW,32,37,1849,2,40438,40441,254,251,High,High,High->High,May,Middle,Middle,Middle->Middle,H,0,0.096969697,0.864864865,5,S,1
1388,HD,7,8,WA,0,6,A,40692,40697,40514,NA,2391,8,1,0.571,NA,40487,1,1,40485,,Pacific Northwest,1,Private non-Christian,1,PK,8,110,O,0.143,0,East Coast,NEW,14,15,2391,2,40508,40510,184,182,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,0,0.127272727,0.933333333,1,S,0
1389,SC,7,8,CO,0,7,A,40692,40698,40482,NA,2492,13,6,0.722,40295,40416,7,2,40296,A,Other,6,PUBLIC,1,6,8,765,Q,0.278,0,Costa Rica,NEW,18,20,2492,1,40449,40449,243,243,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,S,0,0.023529412,0.9,2,M-L,0
1390,SC,9,12,CA,0,7,A,40692,40698,40497,NA,2509,0,2,0,40260,40421,3,2,40256,B,Northern California,7,PUBLIC,1,6,12,380,H,0.5,0,Costa Rica,NEW,4,6,2509,2,40309,40437,383,255,High,High,High->High,May,Middle,High,Middle->High,S,0,0.010526316,0.666666667,2,S-M,0
1391,SC,9,12,CA,0,7,A,40692,40698,40497,NA,2609,7,1,0.7,NA,40443,1,2,40438,,Southern California,7,Private non-Christian,1,,NA,106,Q,0.1,0,Costa Rica,EXISTING,10,12,2609,2,40444,40457,248,235,High,High,High->High,May,Undefined,Undefined,Undefined->Undefined,S,0,0.094339623,0.833333333,2,S,1
1392,HD,6,8,MO,0,3,A,40693,40695,40497,NA,1199,7,0,0.5,NA,40451,1,2,40451,C,Other,10,PUBLIC,1,5,7,885,F,0.286,0,East Coast,EXISTING,14,16,1199,1,40464,40464,229,229,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,0,0.015819209,0.875,2,L,1
1393,HD,8,8,KS,0,4,A,40693,40696,40473,NA,1405,27,5,0.794,40259,40409,5,2,40257,B,Other,10,PUBLIC,1,7,8,150,E,0.412,0,East Coast,EXISTING,34,36,1405,1,40420,40420,273,273,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.226666667,0.944444444,2,S,1
1394,HD,8,9,MS,1,4,A,40693,40696,40452,NA,1711,9,4,0.643,40245,40410,4,1,40243,B,Other,10,PUBLIC,1,6,8,655,K,0.357,0,East Coast,EXISTING,14,15,1711,2,40294,40428,399,265,Middle,High,Middle->High,May,Middle,Middle,Middle->Middle,H,0,0.021374046,0.933333333,1,M-L,1
1395,HW,5,5,CO,0,4,A,40693,40696,40466,NA,1520,17,3,0.654,40270,40429,5,1,40270,B,Other,4,PUBLIC,1,K,5,690,O,0.385,0,East Coast,EXISTING,26,27,1520,2,40308,40444,385,249,Elementary,Elementary,Elementary->Elementary,May,K,Elementary,K->Elementary,H,1,0.037681159,0.962962963,1,M-L,1
1396,HD,8,8,MA,0,4,B,40693,40696,40476,NA,741,25,2,0.568,NA,40441,3,5,40407,,Other,10,Private non-Christian,0,7,12,540,L,0.25,0,East Coast,EXISTING,44,49,741,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1,0.081481481,0.897959184,5,S-M,1
1397,HD,8,9,KS,0,4,A,40693,40696,40470,NA,1215,46,2,0.622,NA,40437,7,6,40436,B,Other,10,PUBLIC,1,7,9,558,L,0.257,0,East Coast,NEW,74,80,1215,1,40449,40449,244,244,Middle,High,Middle->High,May,Middle,High,Middle->High,H,0,0.132616487,0.925,6,S-M,0
1398,HD,8,8,NM,0,5,A,40693,40697,40473,NA,1975,6,2,0.6,40212,40410,3,1,40212,C,Other,10,PUBLIC,1,6,8,538,G,0.2,0,East Coast,EXISTING,10,11,1975,1,40436,40436,257,257,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.018587361,0.909090909,1,S-M,1
1399,HD,8,8,IN,0,4,B,40693,40697,40473,FR,876,29,1,0.58,40294,40399,3,3,40290,C,Other,10,PUBLIC,1,6,8,525,G,0.26,0,East Coast,EXISTING,50,53,876,1,40443,40443,250,250,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.095238095,0.943396226,3,S-M,1
1400,HD,8,8,IN,0,4,B,40693,40697,40452,FR,876,20,1,0.625,NA,40413,1,2,40291,C,Other,10,PUBLIC,1,6,8,515,G,0.219,0,East Coast,EXISTING,32,34,876,1,40444,40444,249,249,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1,0.062135922,0.941176471,2,S-M,1
1401,HD,8,8,AZ,0,5,A,40693,40697,40473,NA,2215,6,2,0.75,40294,40413,0,1,40291,B,Other,10,PUBLIC,1,K,8,806,O,0.5,0,East Coast,EXISTING,8,9,2215,1,40430,40430,263,263,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1,0.009925558,0.888888889,1,M-L,0
1402,HD,NA,NA,SD,0,5,A,40693,40697,40466,NA,1557,31,0,0.756,40227,40415,1,5,40206,,Other,5,Catholic,1,7,12,272,I,0.268,0,East Coast,EXISTING,41,46,1557,1,40422,40422,271,271,Undefined,Undefined,Undefined->Undefined,May,Middle,High,Middle->High,H,0,0.150735294,0.891304348,5,S,1
1403,HD,8,9,UT,0,5,A,40693,40697,40459,NA,1940,11,4,0.917,NA,40434,5,1,40430,B,Other,10,PUBLIC,1,8,9,808,G,0.25,0,East Coast,NEW,12,13,1940,1,40443,40443,250,250,Middle,High,Middle->High,May,Middle,High,Middle->High,H,0,0.014851485,0.923076923,1,M-L,1
1404,HD,7,7,MN,0,5,A,40693,40697,40452,NA,1610,34,0,0.642,NA,40360,0,3,40351,,Other,5,Private non-Christian,1,PK,12,650,M,0.189,0,East Coast,EXISTING,53,56,1610,1,40444,40444,249,249,Middle,Middle,Middle->Middle,May,PK,High,PK->High,H,1,0.081538462,0.946428571,3,M-L,1
